file,FundamentalFreq,Magnitude,HarmonicMatches,H1,H2,H3,H4,H5
../data/guitar/S6-0.wav,82.33563311688312,1561.0338,4,82.3,164.5,246.9,329.3,
../data/guitar/S6-1.wav,174.64048672566372,805.0645,2,174.6,525.0,,,
../data/guitar/S6-1.wav,87.52765486725664,424.94675,5,87.5,174.6,263.0,437.6,525.0
../data/guitar/S6-1.wav,119.26161504424779,82.61277,1,119.3,,,,
../data/guitar/S6-2.wav,185.20220588235298,2964.4114,1,185.2,,,,
../data/guitar/S6-2.wav,278.2628676470589,967.3597,1,278.3,,,,
../data/guitar/S6-2.wav,92.60110294117649,829.4329,3,92.6,185.2,278.3,,
../data/guitar/S6-4.wav,103.97727272727273,2673.166,3,104.0,208.0,416.8,,
../data/guitar/S6-5.wav,110.10906040268458,2943.6465,2,110.1,220.2,,,
../data/guitar/S6-6.wav,117.1875,3186.4822,2,117.2,233.3,,,
../data/guitar/S6-7.wav,124.21875,2502.694,2,124.2,249.2,,,
../data/guitar/S6-8.wav,131.77447552447552,1684.5535,2,131.8,264.2,,,
